BB_Rank,Title,Artist,Date,Genre,Gender
110,ONE MORE NIGHT,Maroon 5,2012,Pop,Duo/Group
111,BEST OF MY LOVE,The Emotions,1977,R&B,Duo/Group
112,WE ARE YOUNG,fun. Featuring Janelle Monae,2012,Rock,Duo/Group
113,THAT'S WHAT I LIKE,Bruno Mars,2017,R&B,Male
114,YOU MAKE ME WANNA...,Usher,1997,R&B,Male
115,BIG GIRLS DON'T CRY,Fergie,2007,Pop,Female
116,THE WAY WE WERE,Barbra Streisand,1974,Pop,Female
117,ANOTHER NIGHT,Real McCoy,1994,Dance/Electronic,Duo/Group
118,IT'S NOW OR NEVER,Elvis Presley With The Jordanaires,1960,Rock,Male
119,DO THAT TO ME ONE MORE TIME,Captain & Tennille,1980,Pop,Duo/Group
120,A FIFTH OF BEETHOVEN,Walter Murphy & The Big Apple Band,1976,Dance/Electronic,Duo/Group
121,LIKE A VIRGIN,Madonna,1984,Pop,Female
122,MARIA MARIA,Santana Featuring The Product G&B,2000,R&B,Duo/Group
123,WHEN DOVES CRY,Prince,1984,R&B,Male
124,I WILL SURVIVE,Gloria Gaynor,1979,Dance/Electronic,Female
125,I CAN'T STOP LOVING YOU,Ray Charles,1962,R&B,Male
126,U GOT IT BAD,Usher,2001,R&B,Male
127,WHATEVER YOU LIKE,T.I.,2008,Hip-Hop/Rap,Male
128,DOWN,Jay Sean Featuring Lil Wayne,2009,Pop,Male
129,BLEEDING LOVE,Leona Lewis,2008,Pop,Female
130,JOY TO THE WORLD,Three Dog Night,1971,Rock,Duo/Group
131,INDEPENDENT WOMEN PART I,Destiny's Child,2000,R&B,Duo/Group
132,FOOLISH,Ashanti,2002,R&B,Female
133,MANEATER,Daryl Hall John Oates,1982,Pop,Duo/Group
134,MY LOVE,Paul McCartney And Wings,1973,Rock,Duo/Group
135,THE HILLS,The Weeknd,2015,R&B,Male
136,NOBODY KNOWS,The Tony Rich Project,1996,R&B,Male
137,ALONE AGAIN (NATURALLY),Gilbert O'Sullivan,1972,Pop,Male
138,ALL OF ME,John Legend,2014,R&B,Male
139,SHAKE IT OFF,Taylor Swift,2014,Pop,Female
140,THE FIRST TIME EVER I SAW YOUR FACE,Roberta Flack,1972,R&B,Female
141,ONE DANCE,Drake Featuring WizKid & Kyla,2016,Hip-Hop/Rap,Male
142,RADIOACTIVE,Imagine Dragons,2013,Rock,Duo/Group
143,SEXY AND I KNOW IT,LMFAO,2012,Dance/Electronic,Duo/Group
144,SOMEONE LIKE YOU,Adele,2011,Pop,Female
145,HEY YA!,OutKast,2003,R&B,Duo/Group
146,ANOTHER BRICK IN THE WALL (PART II),Pink Floyd,1980,Rock,Duo/Group
147,BURN,Usher,2004,R&B,Male
148,THE WAY YOU MOVE,OutKast Featuring Sleepy Brown,2004,Hip-Hop/Rap,Duo/Group
149,GOD'S PLAN,Drake,2018,Hip-Hop/Rap,Male
150,FAITH,George Michael,1987,Pop,Male
151,CRANK THAT (SOULJA BOY),Soulja Boy Tell'em,2007,Hip-Hop/Rap,Male
152,BECAUSE YOU LOVED ME,Celine Dion,1996,Pop,Female
153,IN DA CLUB,50 Cent,2003,Hip-Hop/Rap,Male
154,VENUS,Frankie Avalon,1959,Pop,Male
155,COUNTING STARS,OneRepublic,2014,Pop,Duo/Group
156,CRAZY LITTLE THING CALLED LOVE,Queen,1980,Rock,Duo/Group
157,RHINESTONE COWBOY,Glen Campbell,1975,Country,Male
158,BREATHE,Faith Hill,2000,Country,Female
159,I'M SORRY,Brenda Lee,1960,Pop,Female
160,IRREPLACEABLE,Beyonce,2006,R&B,Female
161,TOTAL ECLIPSE OF THE HEART,Bonnie Tyler,1983,Pop,Female
162,CARELESS WHISPER,Wham! Featuring George Michael,1985,Pop,Duo/Group
163,KISS YOU ALL OVER,Exile,1978,Pop,Duo/Group
164,HANGING BY A MOMENT,Lifehouse,2001,Rock,Duo/Group
165,WALK LIKE AN EGYPTIAN,The Bangles,1986,Pop,Duo/Group
166,E.T.,Katy Perry Featuring Kanye West,2011,Pop,Female
167,NEL BLU DIPINTO DI BLU (VOLARÉ),Domenico Modugno,1958,Pop,Male
168,"TO KNOW HIM, IS TO LOVE HIM",The Teddy Bears,1958,Pop,Duo/Group
169,Lose Yourself,Eminem,2002,Hip-Hop/Rap,Male
170,I'LL BE THERE,Jackson 5,1970,R&B,Duo/Group
171,FALLIN',Alicia Keys,2001,R&B,Female
172,CREEP,TLC,1995,R&B,Duo/Group
173,"LOVE THEME FROM ""A STAR IS BORN"" (EVERGREEN)",Barbra Streisand,1977,Pop,Female
174,LOVE IS BLUE (L'AMOUR EST BLEU),Paul Mauriat And His Orchestra,1968,Pop,Male
175,DISCO DUCK (PART I),Rick Dees & His Cast Of Idiots,1976,Pop,Male
176,I'M REAL,Jennifer Lopez Featuring Ja Rule,2001,Pop,Female
177,GOODIES,Ciara Featuring Petey Pablo,2004,R&B,Female
178,"HELLO, DOLLY!",Louis Armstrong And The All Stars,1964,Jazz,Male
179,DON'T YOU WANT ME,The Human League,1982,Dance/Electronic,Duo/Group
180,DA YA THINK I'M SEXY?,Rod Stewart,1979,Pop,Male
181,WATERFALLS,TLC,1995,R&B,Duo/Group
