RS_Rank,Title,Album,Artist,Year 
264,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
265,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
266,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
267,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
268,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
269,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
270,Marquee Moon,Marquee Moon (Elektra),Television,1977
271,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
272,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
273,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
274,Personal Jesus,Violator (Sire),Depeche Mode,1989
275,White Room,Wheels of Fire (Polygram),Cream,1968
276,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
277,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
278,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
279,The Letter,The Letter (Sundazed),The Box Tops,1967
280,Complete Control,The Clash (Epic),The Clash,1979
281,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
282,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
283,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
284,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
285,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
286,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
287,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
288,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
289,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
290,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
291,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
292,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
293,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
294,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
295,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
296,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
297,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
298,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
299,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
300,Runaround Sue,Runaround Sue (Capitol),Dion,1961
301,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
302,Just My Imagination,Anthology (Motown),The Temptations,1971
303,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
304,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
305,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,1974
306,Stills,Decade (Reprise),Crosby,1970
307,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
308,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
309,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
310,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
311,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
312,Radio Free Europe,Murmur (A&M),R.E.M.,1983
313,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
314,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
315,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
316,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
317,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
318,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
319,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
320,Marquee Moon,Marquee Moon (Elektra),Television,1977
321,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
322,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
323,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
324,Personal Jesus,Violator (Sire),Depeche Mode,1989
325,White Room,Wheels of Fire (Polygram),Cream,1968
326,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
